image,algorithm,noise_type,noise_level,psnr,ssim,time,iterations
img_001_SRF_2_HR.png,ISTA,gaussian,0.05,15.758854413129175,0.6802158951759338,0.014875500000925967,2
img_001_SRF_2_HR.png,BM3D,gaussian,0.05,29.396050090029902,0.8836941123008728,3.26149869999972,0
img_001_SRF_2_HR.png,ISTA,gaussian,0.1,15.571462503829663,0.6087842583656311,0.019921200000680983,2
img_001_SRF_2_HR.png,BM3D,gaussian,0.1,25.755909581270082,0.7324841618537903,3.435514000000694,0
img_001_SRF_2_HR.png,ISTA,gaussian,0.2,14.588478579491833,0.4000817537307739,0.016324999998687417,2
img_001_SRF_2_HR.png,BM3D,gaussian,0.2,22.49789614756112,0.4959758520126343,3.4235023000001092,0
img_001_SRF_2_HR.png,ISTA,salt_pepper,0.01,15.696394014224877,0.6544938683509827,0.01382509999893955,2
img_001_SRF_2_HR.png,BM3D,salt_pepper,0.01,25.612933696141546,0.699108362197876,3.186976799999684,0
img_001_SRF_2_HR.png,ISTA,salt_pepper,0.05,15.287310898885648,0.5412361025810242,0.015805200000613695,2
img_001_SRF_2_HR.png,BM3D,salt_pepper,0.05,21.52496917795368,0.3903936445713043,3.5816587999997864,0
img_001_SRF_2_HR.png,ISTA,salt_pepper,0.1,14.759187518984557,0.43682965636253357,0.014160400000037043,2
img_001_SRF_2_HR.png,BM3D,salt_pepper,0.1,20.791902829909816,0.34965547919273376,3.334006600000066,0
